Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
D,713,A.Jimenez,4.5,4.5,Bournemouth,0.00,79.05,79.05,0.00,2.28,3.22
F,714,Woltemade,6.7,6.7,Newcastle,18.00,18.00,18.00,1.01,1.13,1.03
G,715,John,4.0,4.0,Nott'm Forest,0.30,0.30,0.30,0.01,0.01,0.01
D,716,Savona,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
M,717,Xavi,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,718,S.Magassa,5.0,5.0,West Ham,23.40,23.40,23.40,0.78,0.87,0.85
D,719,Lindelöf,4.5,4.5,Aston Villa,12.15,12.15,12.15,0.48,0.39,0.36
F,720,Tolu,5.2,5.2,Wolves,50.70,50.70,50.70,2.01,2.43,2.39
D,721,Milosavljević,4.4,4.4,Bournemouth,11.40,5.55,5.55,0.50,0.21,0.23
M,722,Florentino,5.0,5.0,Burnley,15.30,15.30,15.30,0.60,0.53,0.62
D,723,Canvot,4.5,4.5,Crystal Palace,147.60,78.60,78.60,5.84,3.18,3.21
D,724,Geertruida,4.5,4.5,Sunderland,54.90,54.90,54.90,2.07,2.11,2.01
D,725,Hincapie,5.1,5.1,Arsenal,28.05,28.05,28.05,1.35,1.58,1.50
F,726,Kolo Muani,6.9,6.9,Spurs,77.55,69.15,69.15,3.95,2.86,3.22
M,727,Chukwueze,5.3,5.3,Fulham,52.95,52.95,52.95,2.77,2.97,2.74
M,728,Röhl,5.0,5.0,Everton,12.45,12.45,12.45,0.56,0.57,0.54
F,730,Brobbey,5.3,5.3,Sunderland,79.35,79.35,79.35,3.52,3.25,3.30
M,731,Kevin,5.7,5.7,Fulham,0.00,0.00,0.00,0.00,0.00,0.00
F,732,Uche,5.5,5.5,Crystal Palace,11.40,5.70,5.70,0.55,0.27,0.24
G,733,Lammens,5.1,5.1,Man Utd,89.10,89.10,89.10,3.37,3.69,3.08
M,734,Bakwa,5.9,5.9,Nott'm Forest,75.15,30.90,30.90,3.29,1.21,1.35
M,735,Traoré,5.5,5.5,Sunderland,13.95,13.95,13.95,0.66,0.60,0.62
G,736,Donnarumma,5.6,5.6,Man City,176.40,88.20,88.20,6.85,3.18,3.68
F,737,Kusi-Asare,4.5,4.5,Fulham,3.00,3.00,3.00,0.16,0.17,0.16
G,738,Fabianski,4.5,4.5,West Ham,0.00,0.00,0.00,0.00,0.00,0.00
M,742,McAidoo,4.5,4.5,Man City,0.60,0.30,0.30,0.03,0.01,0.01
M,743,Emenalo,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
