Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts
D,556,Targett,4.0,4.0,Hull City,9.09,8.82,8.82,8.82,8.01,0.63,0.62,0.58,0.6,0.63
D,585,Herrington,4.0,4.0,Hull City,10.6,10.6,10.6,10.6,4.23,0.63,0.61,0.55,0.59,0.46
D,586,Mendy,4.0,4.0,Hull City,60.9,60.9,60.9,60.9,23.18,2.56,2.38,1.76,2.15,1.12
D,259,Diop,4.0,4.0,Ipswich Town,82.95,82.95,82.95,82.95,82.95,2.24,2.35,3.07,3.09,2.97
D,303,Kipré,4.0,4.0,Ipswich Town,2.2,2.2,2.2,2.2,2.2,0.27,0.27,0.28,0.28,0.28
D,304,O'Shea,4.0,4.0,Ipswich Town,88.05,88.05,88.05,88.05,88.05,2.5,2.73,3.24,3.36,3.37
D,305,Davis,4.0,4.0,Ipswich Town,78.75,78.75,78.75,78.75,78.75,1.91,2.2,2.6,2.65,3.07
D,306,Greaves,4.0,4.0,Ipswich Town,60.45,60.45,60.45,60.45,60.45,1.89,1.99,2.47,2.49,2.4
D,307,Johnson,4.0,4.0,Ipswich Town,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.3,0.3,0.3
D,308,Furlong,4.0,4.0,Ipswich Town,1.65,1.65,1.65,1.65,1.65,0.28,0.28,0.28,0.28,0.28
D,592,Ouattara,4.0,4.0,Ipswich Town,45.6,45.6,45.6,45.6,45.6,1.21,1.35,1.48,1.55,1.68
D,327,Bijol,5.0,5.0,Leeds,57.9,57.0,57.0,57.0,57.0,2.81,2.4,2.72,3.09,2.15
D,329,Rodon,4.5,4.5,Leeds,77.1,63.4,63.4,63.4,63.4,2.96,2.26,2.56,2.9,2.01
D,330,Bogle,4.5,4.5,Leeds,74.1,64.65,64.65,64.65,64.65,3.15,2.14,2.7,3.03,1.69
D,331,Gudmundsson,4.5,4.5,Leeds,24.3,72.9,72.9,72.9,72.9,1.06,2.4,2.99,3.26,1.92
D,332,Justin,4.5,4.5,Leeds,86.1,75.6,75.6,75.6,75.6,4.03,3.01,3.5,3.84,2.6
D,333,Bornauw,4.5,4.5,Leeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,334,Muharemović,5.0,5.0,Leeds,85.8,85.8,85.8,85.8,85.8,3.84,3.34,3.79,4.38,2.93
D,598,Elvedi,4.5,4.5,Leeds,13.88,12.3,12.3,12.3,12.3,0.74,0.65,0.7,0.74,0.62
D,603,Lienou,4.0,4.0,Leeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,356,Virgil,6.5,6.5,Liverpool,87.75,87.75,87.75,87.75,87.75,4.49,4.29,4.41,3.8,3.32
D,357,Frimpong,5.5,5.5,Liverpool,70.2,65.55,65.55,65.55,51.15,4.58,3.92,4.25,3.46,2.36
D,358,Kerkez,5.5,5.5,Liverpool,83.55,83.3,83.3,83.3,82.8,4.27,3.92,4.22,3.35,2.93
D,359,Gomez,5.0,5.0,Liverpool,5.25,14.04,14.04,14.04,9.58,0.26,0.77,0.81,0.73,0.66
D,360,Bradley,5.0,5.0,Liverpool,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,1.22
D,361,Lucky,4.0,4.0,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,362,Jacquet,5.0,5.0,Liverpool,78.9,78.0,78.0,78.0,78.0,3.76,3.55,3.71,3.1,2.7
D,363,Leoni,4.0,4.0,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,364,Tsimikas,5.0,5.0,Liverpool,6.75,6.75,6.75,6.75,6.75,0.38,0.38,0.38,0.33,0.29
D,365,Ramsay,4.0,4.0,Liverpool,4.8,4.8,4.8,4.8,3.0,0.27,0.26,0.26,0.23,0.13
D,579,Araujo,5.5,5.5,Liverpool,28.05,24.87,24.87,24.87,19.7,1.32,1.07,1.12,0.97,0.8
