index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games
92,92,Baptiste,BRE,3,4.5,0.957,22.55,1.0,18.0,1.0
93,93,Bech,BRE,2,4.0,0.05,1.18,0.0,0.0,0.0
94,94,Bidstrup,BRE,3,4.5,0.0,0.0,0.0,0.0,0.0
95,95,Canós,BRE,3,5.0,0.0,0.0,0.0,0.0,0.0
96,96,Collins,BRE,2,4.5,1.724,47.03,1.0,90.0,1.0
97,97,Cox,BRE,1,4.0,0.0,0.0,0.0,0.0,0.0
98,98,Damsgaard,BRE,3,5.0,1.959,41.49,1.0,41.0,1.0
99,99,Dasilva,BRE,3,5.0,1.327,27.52,0.0,0.0,0.0
100,100,Dervişoğlu,BRE,4,4.5,0.0,0.0,0.0,0.0,0.0
101,101,Flekken,BRE,1,4.5,3.737,95.0,2.0,90.0,1.0
102,102,Goode,BRE,2,4.0,0.0,0.0,0.0,0.0,0.0
103,103,Henry,BRE,2,4.5,3.443,93.75,4.0,90.0,1.0
104,104,Hickey,BRE,2,4.5,3.12,79.19,0.0,71.0,1.0
105,105,Janelt,BRE,3,5.5,2.15,62.46,2.0,90.0,1.0
106,106,Jensen,BRE,3,5.5,2.724,63.65,4.0,48.0,1.0
107,107,Lewis-Potter,BRE,3,5.0,2.367,41.52,0.0,0.0,0.0
108,108,Mbeumo,BRE,3,6.5,4.472,72.29,7.0,90.0,1.0
109,109,Mee,BRE,2,5.0,2.934,77.96,0.0,0.0,0.0
110,110,Nørgaard,BRE,3,5.5,2.077,63.48,2.0,71.0,1.0
111,111,Onyeka,BRE,3,5.0,0.679,14.76,0.0,0.0,0.0
112,112,Pinnock,BRE,2,4.5,2.825,76.13,1.0,90.0,1.0
113,113,Raya,BRE,1,5.0,0.183,4.06,0.0,0.0,0.0
114,114,Roerslev,BRE,2,4.5,0.451,11.09,1.0,18.0,1.0
115,115,Schade,BRE,3,5.5,2.469,49.61,1.0,18.0,1.0
116,116,Strakosha,BRE,1,4.0,0.095,2.41,0.0,0.0,0.0
117,117,Toney,BRE,4,8.0,0.0,0.0,0.0,0.0,0.0
118,118,Trevitt,BRE,3,4.5,0.0,0.0,0.0,0.0,0.0
119,119,Wissa,BRE,4,6.0,3.714,74.37,9.0,71.0,1.0
120,120,Yarmolyuk,BRE,3,4.5,0.092,1.29,0.0,0.0,0.0
121,121,Zanka,BRE,2,4.5,0.068,1.58,1.0,6.0,1.0
122,122,Adingra,BHA,3,5.0,0.312,3.54,6.0,16.0,1.0
123,123,Alzate,BHA,3,4.5,0.079,1.27,0.0,0.0,0.0
124,124,Ayari,BHA,3,4.5,0.0,0.0,0.0,0.0,0.0
125,125,Buonanotte,BHA,3,5.0,1.753,31.53,0.0,0.0,0.0
126,126,Caicedo,BHA,3,5.0,0.631,19.98,0.0,0.0,0.0
127,127,Connolly,BHA,4,4.5,0.0,0.0,0.0,0.0,0.0
128,128,Dahoud,BHA,3,5.0,3.131,79.93,3.0,73.0,1.0
129,129,Dunk,BHA,2,5.0,4.2330000000000005,90.84,2.0,90.0,1.0
130,130,Enciso,BHA,3,5.5,2.872,39.99,1.0,2.0,1.0
131,131,Estupiñan,BHA,2,5.0,4.803,89.52,7.0,90.0,1.0
132,132,Ferguson,BHA,4,6.0,2.496,35.19,5.0,12.0,1.0
133,133,Gilmour,BHA,3,5.0,2.231,57.63,1.0,16.0,1.0
134,134,Gross,BHA,3,6.5,4.262,80.34,2.0,90.0,1.0
135,135,João Pedro,BHA,4,5.5,2.9610000000000003,41.74,7.0,87.0,1.0
136,136,Karbownik,BHA,2,4.0,0.0,0.0,0.0,0.0,0.0
137,137,Kozłowski,BHA,3,4.5,0.0,0.0,0.0,0.0,0.0
138,138,Lallana,BHA,3,5.0,1.31,24.08,0.0,0.0,0.0
139,139,Lamptey,BHA,2,4.0,0.374,7.03,0.0,0.0,0.0
140,140,March,BHA,3,6.5,4.53,79.22,9.0,73.0,1.0
141,141,McGill,BHA,1,4.0,0.0,0.0,0.0,0.0,0.0
142,142,Milner,BHA,3,5.0,0.921,18.88,3.0,78.0,1.0
143,143,Mitoma,BHA,3,6.5,4.115,76.52,5.0,90.0,1.0
144,144,Moder,BHA,3,4.5,0.555,11.39,0.0,0.0,0.0
145,145,Sanchez,CHE,1,4.5,0.068,1.91,2.0,90.0,1.0
146,146,Sarmiento,BHA,3,4.5,0.0,0.0,0.0,0.0,0.0
147,147,Scherpen,BHA,1,4.0,0.0,0.0,0.0,0.0,0.0
148,148,Steele,BHA,1,4.5,4.335,95.0,2.0,90.0,1.0
149,149,Undav,BHA,4,5.5,0.0,0.0,0.0,0.0,0.0
150,150,Van Hecke,BHA,2,4.0,0.405,9.17,2.0,90.0,1.0
151,151,Veltman,BHA,2,4.5,2.0980000000000003,40.75,1.0,11.0,1.0
152,152,Verbruggen,BHA,1,4.5,0.0,0.0,0.0,0.0,0.0
153,153,Webster,BHA,2,4.5,3.055,61.77,0.0,0.0,0.0
