,ID,Points,Minutes,sim
29,79,6,90,5
30,82,2,90,5
31,83,8,90,5
32,85,9,90,5
33,86,6,90,5
34,88,6,90,5
35,89,5,90,5
36,91,7,90,5
37,94,3,90,5
38,97,3,90,5
39,99,13,90,5
40,101,8,90,5
41,104,9,90,5
42,115,3,90,5
43,117,2,90,5
44,120,6,90,5
45,122,6,90,5
46,136,3,90,5
47,146,6,90,5
48,148,4,90,5
49,149,3,90,5
50,152,6,90,5
51,157,5,90,5
52,159,1,90,5
53,162,6,90,5
54,163,6,90,5
55,168,6,90,5
56,177,3,90,5
57,180,10,90,5
58,181,3,90,5
59,182,8,90,5
60,185,6,90,5
61,186,2,90,5
62,189,9,90,5
63,191,7,90,5
64,196,1,90,5
65,199,2,90,5
66,200,1,90,5
67,201,1,90,5
68,204,0,90,5
69,206,2,90,5
70,207,6,90,5
71,211,1,90,5
72,216,2,90,5
73,219,1,90,5
74,220,9,90,5
75,222,2,90,5
76,226,2,90,5
77,230,4,90,5
78,231,1,90,5
79,232,2,90,5
80,233,2,90,5
81,235,1,90,5
82,236,1,90,5
83,238,1,90,5
84,239,2,90,5
85,240,2,90,5
86,247,2,90,5
87,248,1,90,5
88,251,7,90,5
89,252,2,90,5
90,255,1,90,5
91,257,1,90,5
92,267,0,90,5
93,268,5,90,5
94,270,0,90,5
95,274,2,90,5
96,278,2,90,5
97,282,0,90,5
98,291,2,90,5
99,293,2,90,5
100,295,2,90,5
101,296,2,90,5
102,298,2,90,5
103,300,2,90,5
104,301,2,90,5
105,306,2,90,5
106,309,2,90,5
107,310,2,90,5
108,311,5,90,5
109,314,14,90,5
110,316,6,90,5
111,323,3,90,5
112,326,2,90,5
113,327,7,90,5
114,328,7,90,5
115,329,10,90,5
116,335,2,90,5
117,336,5,90,5
118,338,6,90,5
119,339,2,90,5
120,340,1,90,5
121,342,2,90,5
122,347,1,90,5
123,348,13,90,5
124,350,1,90,5
125,354,2,90,5
126,355,1,90,5
127,359,7,90,5
128,361,1,90,5
129,362,1,90,5
130,364,5,90,5
131,366,2,90,5
132,369,2,90,5
133,375,6,90,5
134,378,2,90,5
135,380,2,90,5
136,383,2,90,5
137,385,2,90,5
138,386,8,90,5
139,388,2,90,5
140,392,7,90,5
141,394,5,90,5
142,395,2,90,5
143,397,2,90,5
144,398,7,90,5
145,399,2,90,5
146,402,2,90,5
147,403,2,90,5
148,404,2,90,5
149,405,2,90,5
150,413,2,90,5
151,424,2,90,5
152,432,2,90,5
153,433,2,90,5
154,434,5,90,5
155,436,1,90,5
156,437,1,90,5
157,443,1,90,5
158,444,1,90,5
159,447,2,90,5
160,452,2,90,5
161,455,1,90,5
162,461,1,90,5
163,463,2,90,5
164,473,5,90,5
165,474,1,90,5
166,480,3,90,5
167,482,3,90,5
168,491,6,90,5
169,495,6,90,5
170,498,6,90,5
171,499,3,90,5
172,504,6,90,5
173,505,6,90,5
174,506,7,90,5
175,508,6,90,5
176,511,2,90,5
177,513,2,90,5
178,514,17,90,5
179,518,2,90,5
180,520,2,90,5
181,524,4,90,5
182,527,9,90,5
183,530,5,90,5
184,531,2,90,5
185,533,0,90,5
186,541,2,90,5
187,542,0,90,5
188,548,2,90,5
189,553,2,90,5
190,559,0,90,5
191,565,2,90,5
192,566,5,90,5
193,567,0,90,5
194,568,0,90,5
195,570,2,90,5
196,571,7,90,5
197,577,5,90,5
198,578,8,90,5
199,587,7,90,5
200,590,3,90,5
201,591,2,90,5
202,592,6,90,5
203,593,2,90,5
204,594,2,90,5
205,595,3,90,5
206,600,3,90,5
207,608,7,90,5
208,611,5,90,5
209,617,5,90,5
210,618,3,90,5
211,623,5,90,5
212,625,5,90,5
213,628,6,90,5
214,630,0,90,5
215,632,2,90,5
216,650,1,90,5
217,652,2,90,5
218,654,2,90,5
219,10149,2,90,5
0,3,2,90,6
1,4,2,90,6
2,6,2,90,6
3,7,2,90,6
4,11,2,90,6
5,12,7,90,6
6,14,1,90,6
7,15,2,90,6
8,16,5,90,6
9,17,7,90,6
10,18,2,90,6
11,19,2,90,6
12,20,10,90,6
13,26,1,90,6
14,27,6,90,6
15,28,3,90,6
16,36,6,90,6
17,38,5,90,6
18,44,9,90,6
19,45,6,90,6
20,47,6,90,6
21,52,6,90,6
22,57,5,90,6
23,58,6,90,6
24,63,3,90,6
25,64,3,90,6
26,65,5,90,6
27,70,6,90,6
28,71,5,90,6
29,76,3,90,6
30,78,3,90,6
31,79,6,90,6
32,82,9,90,6
33,85,6,90,6
34,88,2,90,6
35,89,2,90,6
36,91,2,90,6
37,94,7,90,6
38,98,8,90,6
39,100,2,90,6
40,101,2,90,6
41,104,2,90,6
42,105,2,90,6
