,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2308,27,423,Boly,2,20,Wolves,39,47,2
2317,27,591,Tielemans,3,11,Leicester,13,60,2
1861,27,295,Sánchez,3,14,Man Utd,1,100,1
1876,27,395,Gray,4,18,Watford,57,59,1
1891,27,25,Boruc,1,2,Bournemouth,91,41,1
1915,27,101,Paterson,3,5,Cardiff,97,48,1
1919,27,9,Chambers,2,9,Fulham,54,42,1
1924,27,348,Austin,4,16,Southampton,20,55,1
1928,27,320,Atsu,3,15,Newcastle,4,51,1
1933,27,192,Schindler,2,10,Huddersfield,38,42,1
1958,27,37,Gosling,3,2,Bournemouth,91,47,1
1967,27,225,Gray,3,11,Leicester,13,54,1
1971,27,432,Jota,3,20,Wolves,39,63,1
1972,27,543,Origi,4,12,Liverpool,14,50,1
2023,27,351,Lloris,1,17,Spurs,6,54,1
2048,27,463,Vestergaard,2,16,Southampton,20,46,1
2049,27,335,Bednarek,2,16,Southampton,20,40,1
2050,27,355,Vertonghen,2,17,Spurs,6,59,1
2096,27,297,Mata,3,14,Man Utd,1,61,1
2107,27,107,Zohore,4,5,Cardiff,97,46,1
2117,27,3,Koscielny,2,1,Arsenal,3,54,1
2119,27,519,Dendoncker,3,20,Wolves,39,43,1
2135,27,44,Mousset,4,2,Bournemouth,91,49,1
2161,27,479,Targett,2,16,Southampton,20,42,1
2166,27,13,Özil,3,1,Arsenal,3,79,1
2187,27,100,Mendez-Laing,3,5,Cardiff,97,48,1
2210,27,23,Aubameyang,4,1,Arsenal,3,108,1
2226,27,257,Firmino,4,12,Liverpool,14,93,1
2232,27,426,Saïss,2,20,Wolves,39,42,1
2238,27,427,Bennett,2,20,Wolves,39,41,1
2244,27,433,Neves,3,20,Wolves,39,49,1
2279,27,211,Mounie,4,10,Huddersfield,38,58,1
2287,27,353,Alderweireld,2,17,Spurs,6,60,1
2290,27,388,Cleverley,3,18,Watford,57,50,1
2306,27,227,Ndidi,3,11,Leicester,13,49,1
2313,27,556,Valery,2,16,Southampton,20,41,1
1847,27,471,Diakhaby,3,10,Huddersfield,38,45,0
1875,27,35,Surman,3,2,Bournemouth,91,46,0
1885,27,301,Martial,3,14,Man Utd,1,72,0
1889,27,102,Gunnarsson,3,5,Cardiff,97,44,0
1901,27,219,Chilwell,2,11,Leicester,13,50,0
1909,27,110,Reid,4,5,Cardiff,97,52,0
1913,27,92,Ecuele Manga,2,5,Cardiff,97,44,0
1961,27,42,Brooks,3,2,Bournemouth,91,50,0
1963,27,359,Sánchez,2,17,Spurs,6,58,0
1984,27,291,Bailly,2,14,Man Utd,1,50,0
1995,27,371,Llorente,4,17,Spurs,6,51,0
2017,27,220,Maguire,2,11,Leicester,13,54,0
2035,27,333,Stephens,2,16,Southampton,20,42,0
2054,27,315,Manquillo,2,15,Newcastle,4,43,0
2065,27,94,Bennett,2,5,Cardiff,97,44,0
2092,27,294,Dalot,2,14,Man Utd,1,53,0
2093,27,378,Holebas,2,18,Watford,57,48,0
2099,27,36,Stanislas,3,2,Bournemouth,91,60,0
2111,27,357,Trippier,2,17,Spurs,6,60,0
2122,27,95,Peltier,2,5,Cardiff,97,39,0
2130,27,513,Vietto,4,9,Fulham,54,53,0
2165,27,331,Yoshida,2,16,Southampton,20,41,0
2181,27,256,Keita,3,12,Liverpool,14,71,0
2182,27,5,Monreal,2,1,Arsenal,3,54,0
2191,27,88,Etheridge,1,5,Cardiff,97,46,0
2209,27,285,Jones,2,14,Man Utd,1,51,0
2223,27,221,Pereira,2,11,Leicester,13,53,0
2278,27,27,Steve Cook,2,2,Bournemouth,91,43,0
2283,27,198,Kongolo,2,10,Huddersfield,38,43,0
2293,27,245,Alexander-Arnold,2,12,Liverpool,14,58,0
2900,28,246,van Dijk,2,12,Liverpool,14,67,20
2888,28,245,Alexander-Arnold,2,12,Liverpool,14,58,18
2548,28,172,Sigurdsson,3,8,Everton,11,74,16
2555,28,18,Mkhitaryan,3,1,Arsenal,3,66,16
2516,28,482,Schär,2,15,Newcastle,4,45,15
2361,28,247,Robertson,2,12,Liverpool,14,67,13
2828,28,251,Mané,3,12,Liverpool,14,103,13
2455,28,113,Azpilicueta,2,6,Chelsea,8,64,12
2731,28,13,Özil,3,1,Arsenal,3,79,12
2813,28,306,Lukaku,4,14,Man Utd,1,107,12
2594,28,315,Manquillo,2,15,Newcastle,4,43,11
2768,28,339,Oriol Romeu,3,16,Southampton,20,42,11
2842,28,157,Coleman,2,8,Everton,11,52,11
2482,28,60,Pröpper,3,3,Brighton,36,48,10
2584,28,338,Ward-Prowse,3,16,Southampton,20,51,9
2669,28,3,Koscielny,2,1,Arsenal,3,54,9
2697,28,115,Alonso,2,6,Chelsea,8,62,9
2778,28,125,Pedro,3,6,Chelsea,8,62,9
2847,28,280,Agüero,4,13,Man City,43,120,9
2873,28,198,Kongolo,2,10,Huddersfield,38,43,9
2387,28,293,Young,2,14,Man Utd,1,57,8
2461,28,266,Danilo,2,13,Man City,43,48,8
2486,28,225,Gray,3,11,Leicester,13,54,8
2730,28,331,Yoshida,2,16,Southampton,20,41,8
2843,28,531,Longstaff,3,15,Newcastle,4,45,8
2867,28,211,Mounie,4,10,Huddersfield,38,58,8
2356,28,468,Alisson,1,12,Liverpool,14,59,7
2372,28,452,Gunn,1,16,Southampton,20,43,7
2494,28,175,Calvert-Lewin,4,8,Everton,11,54,7
2586,28,234,Vardy,4,11,Leicester,13,90,7
2604,28,441,Ward,2,7,Crystal Palace,31,43,7
2762,28,264,Otamendi,2,13,Man City,43,60,7
2787,28,23,Aubameyang,4,1,Arsenal,3,108,7
2895,28,292,Lindelöf,2,14,Man Utd,1,49,7
2439,28,192,Schindler,2,10,Huddersfield,38,42,6
2492,28,543,Origi,4,12,Liverpool,14,50,6
2499,28,260,Ederson,1,13,Man City,43,57,6
2526,28,314,Lejeune,2,15,Newcastle,4,44,6
2563,28,168,Gueye,3,8,Everton,11,47,6
2576,28,312,Lascelles,2,15,Newcastle,4,47,6
2578,28,233,Maddison,3,11,Leicester,13,66,6
2587,28,463,Vestergaard,2,16,Southampton,20,46,6
2588,28,335,Bednarek,2,16,Southampton,20,40,6
2603,28,243,Matip,2,12,Liverpool,14,49,6
2615,28,191,Lössl,1,10,Huddersfield,38,44,6
2625,28,154,Pickford,1,8,Everton,11,49,6
2692,28,44,Mousset,4,2,Bournemouth,91,49,6
2709,28,309,Dubravka,1,15,Newcastle,4,50,6
