,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
51,18,32,Pépé,3,Arsenal,Arsenal,3,77,1
86,41,32,Mings,2,Aston Villa,Aston Villa,7,54,1
91,42,32,Targett,2,Aston Villa,Aston Villa,7,50,1
96,45,32,El Ghazi,3,Aston Villa,Aston Villa,7,52,1
101,46,32,Konsa,2,Aston Villa,Aston Villa,7,46,1
106,50,32,Davis,4,Aston Villa,Aston Villa,7,42,1
141,69,32,Trossard,3,Brighton,Brighton,36,55,1
166,84,32,Cork,3,Burnley,Burnley,90,50,1
171,88,32,Mee,2,Burnley,Burnley,90,47,1
186,92,32,Lowton,2,Burnley,Burnley,90,44,1
191,93,32,Vydra,4,Burnley,Burnley,90,48,1
201,97,32,Taylor,2,Burnley,Burnley,90,44,1
231,106,32,Barkley,3,Aston Villa,Aston Villa,7,58,1
261,117,32,Werner,4,Chelsea,Chelsea,8,92,1
276,122,32,Hudson-Odoi,3,Chelsea,Chelsea,8,57,1
332,155,32,Digne,2,Everton,Everton,11,62,1
337,156,32,Keane,2,Everton,Everton,11,50,1
342,157,32,Pickford,1,Everton,Everton,11,48,1
352,163,32,Davies,3,Everton,Everton,11,52,1
362,165,32,Holgate,2,Everton,Everton,11,48,1
381,200,32,Dallas,2,Leeds,Leeds,2,55,1
386,201,32,Alioski,2,Leeds,Leeds,2,44,1
431,221,32,Albrighton,3,Leicester,Leicester,13,52,1
446,229,32,Pérez,3,Leicester,Leicester,13,60,1
485,249,32,Firmino,4,Liverpool,Liverpool,14,91,1
501,254,32,Salah,3,Liverpool,Liverpool,14,129,1
533,280,32,Laporte,2,Man City,Man City,43,60,1
561,299,32,Fred,3,Man Utd,Man Utd,1,53,1
594,313,32,Wan-Bissaka,2,Man Utd,Man Utd,1,58,1
602,321,32,Shelvey,3,Newcastle,Newcastle,4,53,1
617,331,32,Dummett,2,Newcastle,Newcastle,4,44,1
647,347,32,Stevens,2,Sheffield Utd,Sheffield Utd,49,50,1
672,358,32,Callum Robinson,4,West Brom,West Brom,35,52,1
677,365,32,Redmond,3,Southampton,Southampton,20,64,1
725,394,32,Alli,3,Spurs,Spurs,6,74,1
756,418,32,Townsend,2,West Brom,West Brom,35,44,1
761,422,32,Furlong,2,West Brom,West Brom,35,45,1
766,425,32,O'Shea,2,West Brom,West Brom,35,42,1
888,497,32,Murphy,3,Newcastle,Newcastle,4,49,1
913,504,32,Fabio Silva,4,Wolves,Wolves,39,52,1
918,506,32,Wilson,4,Newcastle,Newcastle,4,65,1
928,510,32,Bogle,2,Sheffield Utd,Sheffield Utd,49,43,1
1002,566,32,Godfrey,2,Everton,Everton,11,51,1
1007,567,32,Partey,3,Arsenal,Arsenal,3,49,1
1021,587,32,Benrahma,3,West Ham,West Ham,21,59,1
1049,628,32,Moder,3,Brighton,Brighton,36,50,1
1064,654,32,Yokuslu,3,West Brom,West Brom,35,45,1
1,4,32,Aubameyang,3,Arsenal,Arsenal,3,113,0
11,8,32,Leno,1,Arsenal,Arsenal,3,50,0
21,10,32,Marí,2,Arsenal,Arsenal,3,44,0
36,13,32,Chambers,2,Arsenal,Arsenal,3,45,0
196,96,32,Pope,1,Burnley,Burnley,90,55,0
216,102,32,Azpilicueta,2,Chelsea,Chelsea,8,58,0
347,162,32,Mina,2,Everton,Everton,11,55,0
357,164,32,Calvert-Lewin,4,Everton,Everton,11,75,0
456,232,32,Chilwell,2,Chelsea,Chelsea,8,59,0
513,268,32,Agüero,4,Man City,Man City,43,103,0
517,274,32,Mendy,2,Man City,Man City,43,59,0
521,276,32,Sterling,3,Man City,Man City,43,109,0
525,277,32,Cancelo,2,Man City,Man City,43,58,0
549,287,32,Torres,3,Man City,Man City,43,70,0
746,412,32,Bartley,2,West Brom,West Brom,35,44,0
776,437,32,Antonio,4,West Ham,West Ham,21,67,0
826,466,32,Neves,3,Wolves,Wolves,39,51,0
840,473,32,Gibbs-White,3,Wolves,Wolves,39,49,0
845,478,32,Willian,3,Arsenal,Arsenal,3,75,0
869,490,32,Thiago Silva,2,Chelsea,Chelsea,8,56,0
874,492,32,Rodrigo,4,Leeds,Leeds,2,57,0
942,523,32,Forster,1,Southampton,Southampton,20,40,0
973,548,32,Mendy,1,Chelsea,Chelsea,8,53,0
1016,573,32,Olsen,1,Everton,Everton,11,45,0
1031,589,32,Phillips,2,Liverpool,Liverpool,14,42,0
1035,594,32,Rhys Williams,2,Liverpool,Liverpool,14,40,0
182,91,33,Wood,4,Burnley,Burnley,90,66,20
457,232,33,Chilwell,2,Chelsea,Chelsea,8,59,12
462,233,33,Iheanacho,4,Leicester,Leicester,13,62,12
212,100,33,McNeil,3,Burnley,Burnley,90,57,11
856,481,33,Pereira,3,West Brom,West Brom,35,54,10
