,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
818,3,219,Evans,2,Leicester,Leicester,13,56,2
819,3,140,Ayew,4,Crystal Palace,Crystal Palace,31,56,2
822,3,157,Pickford,1,Everton,Everton,11,48,2
828,3,98,Brownhill,3,Burnley,Burnley,90,49,2
834,3,454,Moutinho,3,Wolves,Wolves,39,51,2
845,3,217,Schmeichel,1,Leicester,Leicester,13,54,2
852,3,272,De Bruyne,3,Man City,Man City,43,118,2
853,3,85,Long,2,Burnley,Burnley,90,43,2
916,3,457,Doherty,2,Spurs,Spurs,6,56,2
929,3,156,Keane,2,Everton,Everton,11,50,2
931,3,437,Antonio,4,West Ham,West Ham,21,67,2
941,3,113,Kanté,3,Chelsea,Chelsea,8,49,2
953,3,96,Pope,1,Burnley,Burnley,90,55,2
965,3,514,Watkins,4,Aston Villa,Aston Villa,7,63,2
978,3,296,Pogba,3,Man Utd,Man Utd,1,76,2
979,3,474,Neto,3,Wolves,Wolves,39,55,2
981,3,284,Foden,3,Man City,Man City,43,61,2
984,3,4,Aubameyang,3,Arsenal,Arsenal,3,113,2
985,3,396,Højbjerg,3,Spurs,Spurs,6,49,2
986,3,276,Sterling,3,Man City,Man City,43,109,2
996,3,249,Firmino,4,Liverpool,Liverpool,14,91,2
1001,3,286,Rodrigo,3,Man City,Man City,43,53,2
1015,3,466,Neves,3,Wolves,Wolves,39,51,2
1022,3,360,Berge,3,Sheffield Utd,Sheffield Utd,49,49,2
1056,3,117,Werner,4,Chelsea,Chelsea,8,92,2
1070,3,250,van Dijk,2,Liverpool,Liverpool,14,62,2
1080,3,478,Willian,3,Arsenal,Arsenal,3,75,2
1085,3,162,Mina,2,Everton,Everton,11,55,2
543,3,313,Wan-Bissaka,2,Man Utd,Man Utd,1,58,1
549,3,66,Webster,2,Brighton,Brighton,36,43,1
560,3,159,Iwobi,3,Everton,Everton,11,59,1
568,3,516,Areola,1,Fulham,Fulham,54,45,1
609,3,343,Sharp,4,Sheffield Utd,Sheffield Utd,49,55,1
611,3,181,Decordova-Reid,4,Fulham,Fulham,54,53,1
646,3,418,Townsend,2,West Brom,West Brom,35,44,1
680,3,495,van de Beek,3,Man Utd,Man Utd,1,66,1
687,3,22,Nketiah,4,Arsenal,Arsenal,3,53,1
700,3,201,Alioski,2,Leeds,Leeds,2,44,1
727,3,351,Baldock,2,Sheffield Utd,Sheffield Utd,49,49,1
733,3,150,Sigurdsson,3,Everton,Everton,11,68,1
745,3,390,Son,3,Spurs,Spurs,6,96,1
763,3,497,Murphy,3,Newcastle,Newcastle,4,49,1
765,3,144,Riedewald,3,Crystal Palace,Crystal Palace,31,44,1
772,3,239,Justin,2,Leicester,Leicester,13,48,1
866,3,69,Trossard,3,Brighton,Brighton,36,55,1
908,3,70,Ryan,1,Brighton,Arsenal,3,41,1
932,3,108,Batshuayi,4,Crystal Palace,Crystal Palace,31,57,1
954,3,18,Pépé,3,Arsenal,Arsenal,3,77,1
956,3,546,Semedo,2,Wolves,Wolves,39,51,1
961,3,357,McBurnie,4,Sheffield Utd,Sheffield Utd,49,56,1
988,3,123,James,2,Chelsea,Chelsea,8,51,1
1002,3,492,Rodrigo,4,Leeds,Leeds,2,57,1
1008,3,455,Patrício,1,Wolves,Wolves,39,53,1
1048,3,405,Ndombele,3,Spurs,Spurs,6,59,1
1053,3,490,Thiago Silva,2,Chelsea,Chelsea,8,56,1
1061,3,175,Cairney,3,Fulham,Fulham,54,52,1
1066,3,146,Mitchell,2,Crystal Palace,Crystal Palace,31,38,1
1069,3,308,Lindelöf,2,Man Utd,Man Utd,1,48,1
1077,3,141,Zaha,3,Crystal Palace,Crystal Palace,31,71,1
559,3,80,Mac Allister,3,Brighton,Brighton,36,53,0
567,3,338,Saint-Maximin,3,Newcastle,Newcastle,4,52,0
595,3,232,Chilwell,2,Chelsea,Chelsea,8,59,0
602,3,74,White,2,Brighton,Brighton,36,45,0
615,3,530,Ivanovic,2,West Brom,West Brom,35,44,0
618,3,24,Saka,3,Arsenal,Arsenal,3,51,0
653,3,469,Podence,3,Wolves,Wolves,39,53,0
654,3,501,Ceballos,3,Arsenal,Arsenal,3,47,0
685,3,278,Ederson,1,Man City,Man City,43,61,0
686,3,548,Mendy,1,Chelsea,Chelsea,8,53,0
723,3,494,Gabriel,2,Arsenal,Arsenal,3,49,0
747,3,11,Bellerín,2,Arsenal,Arsenal,3,50,0
778,3,81,Tarkowski,2,Burnley,Burnley,90,53,0
797,3,142,Schlupp,3,Crystal Palace,Crystal Palace,31,53,0
