,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2577,14,343,Bednarek,2,Southampton,Southampton,20,44,10
2878,14,212,Maddison,3,Leicester,Leicester,13,68,10
2920,14,261,Bernardo,3,Man City,Man City,43,71,10
2456,14,277,Fernandes,3,Man Utd,Man Utd,1,116,9
2523,14,450,Dennis,4,Watford,Watford,57,60,9
2552,14,345,Adams,4,Southampton,Southampton,20,69,9
2679,14,296,Wilson,4,Newcastle,Newcastle,4,72,9
2739,14,40,Watkins,4,Aston Villa,Aston Villa,7,75,9
2817,14,113,Taylor,2,Burnley,Burnley,90,44,9
2825,14,437,Semedo,2,Wolves,Wolves,39,48,9
2911,14,262,Dias,2,Man City,Man City,43,62,9
2988,14,274,Fred,3,Man Utd,Man Utd,1,49,9
3001,14,422,Soucek,3,West Ham,West Ham,21,57,9
2481,14,240,Jota,3,Liverpool,Liverpool,14,83,8
2662,14,196,Raphinha,3,Leeds,Leeds,2,65,8
2726,14,588,Emerson Royal,2,Spurs,Spurs,6,46,8
2845,14,315,Pukki,4,Norwich,Norwich,45,58,8
2934,14,199,Meslier,1,Leeds,Leeds,2,48,8
2957,14,359,Son,3,Spurs,Spurs,6,109,8
2999,14,63,Maupay,4,Brighton,Brighton,36,65,8
2557,14,234,Robertson,2,Liverpool,Liverpool,14,72,7
2610,14,190,Llorente,2,Leeds,Leeds,2,45,7
2800,14,21,Smith Rowe,3,Arsenal,Arsenal,3,57,7
2930,14,353,Lloris,1,Spurs,Spurs,6,54,7
3021,14,201,Evans,2,Leicester,Leicester,13,54,7
3033,14,558,Ødegaard,3,Arsenal,Arsenal,3,55,7
2560,14,470,Ait Nouri,2,Wolves,Wolves,39,44,6
2575,14,361,Dier,2,Spurs,Spurs,6,46,6
2645,14,354,Sissoko,3,Watford,Watford,57,44,6
2686,14,484,Gray,3,Everton,Everton,11,55,6
2755,14,131,Ziyech,3,Chelsea,Chelsea,8,73,6
2768,14,423,Fornals,3,West Ham,West Ham,21,60,6
2790,14,475,Sá,1,Wolves,Wolves,39,53,6
2827,14,431,Saïss,2,Wolves,Wolves,39,51,6
2844,14,439,Kilman,2,Wolves,Wolves,39,46,6
2923,14,429,Coady,2,Wolves,Wolves,39,49,6
2952,14,112,Pope,1,Burnley,Burnley,90,54,6
3007,14,364,Davies,2,Spurs,Spurs,6,44,6
2470,14,180,Richarlison,4,Everton,Everton,11,75,5
2559,14,281,Rashford,3,Man Utd,Man Utd,1,94,5
2618,14,255,Sterling,3,Man City,Man City,43,105,5
2623,14,106,Mee,2,Burnley,Burnley,90,47,5
2727,14,263,Jesus,4,Man City,Man City,43,84,5
2846,14,12,Elneny,3,Arsenal,Arsenal,3,44,5
2908,14,110,Lowton,2,Burnley,Burnley,90,44,5
2955,14,26,Martinelli,3,Arsenal,Arsenal,3,53,5
3031,14,141,Havertz,3,Chelsea,Chelsea,8,79,5
3085,14,336,Redmond,3,Southampton,Southampton,20,59,5
2621,14,69,Sánchez,1,Brighton,Brighton,36,46,4
2629,14,143,Mendy,1,Chelsea,Chelsea,8,61,4
2893,14,71,Lamptey,2,Brighton,Brighton,36,45,4
3083,14,216,Ndidi,3,Leicester,Leicester,13,48,4
2518,14,578,Cornet,3,Burnley,Burnley,90,59,3
2537,14,290,Williams,2,Norwich,Norwich,45,39,3
2574,14,108,Gudmundsson,3,Burnley,Burnley,90,54,3
2585,14,426,Moutinho,3,Wolves,Wolves,39,49,3
2606,14,559,Ramsdale,1,Arsenal,Arsenal,3,51,3
2684,14,419,Benrahma,3,West Ham,West Ham,21,59,3
2737,14,191,Phillips,3,Leeds,Leeds,2,47,3
2836,14,362,Lucas Moura,3,Spurs,Spurs,6,61,3
2851,14,287,James,3,Leeds,Leeds,2,60,3
2879,14,60,March,3,Brighton,Brighton,36,53,3
2897,14,365,Højbjerg,3,Spurs,Spurs,6,49,3
2944,14,118,McNeil,3,Burnley,Burnley,90,56,3
2969,14,19,Willock,3,Newcastle,Newcastle,4,57,3
2984,14,115,Brownhill,3,Burnley,Burnley,90,43,3
2455,14,341,Ward-Prowse,3,Southampton,Southampton,20,65,2
