,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1592,22,469,Pope,1,4,Burnley,90,50,2
1593,22,245,Otamendi,2,11,Man City,43,64,2
1606,22,320,Oriol Romeu,3,14,Southampton,20,42,2
1607,22,548,Niasse,4,7,Everton,11,46,2
1608,22,447,Zabaleta,2,20,West Ham,21,49,2
1609,22,447,Zabaleta,2,20,West Ham,21,49,2
1611,22,70,Groß,3,3,Brighton,36,59,2
1623,22,2,Cech,1,1,Arsenal,3,53,2
1630,22,321,Højbjerg,3,14,Southampton,20,43,2
1633,22,173,van La Parra,3,8,Huddersfield,38,44,2
1640,22,501,Richarlison,3,18,Watford,57,58,2
1666,22,519,Clucas,3,16,Swansea,80,47,2
1672,22,82,Arfield,3,4,Burnley,90,49,2
1688,22,211,Okazaki,4,9,Leicester,13,53,2
1693,22,322,Boufal,3,14,Southampton,20,57,2
1703,22,85,Defour,3,4,Burnley,90,54,2
1716,22,463,Bakayoko,3,5,Chelsea,8,49,2
1723,22,367,Carroll,3,16,Swansea,80,43,2
1727,22,182,Ince,3,8,Huddersfield,38,55,2
1742,22,115,Hennessey,1,6,Crystal Palace,31,44,2
1749,22,126,Zaha,3,6,Crystal Palace,31,71,2
1756,22,147,Bolasie,3,7,Everton,11,64,2
1762,22,472,Morata,4,5,Chelsea,8,104,2
1130,22,468,Hegazi,2,19,West Brom,35,46,1
1140,22,305,McCarthy,1,14,Southampton,20,44,1
1143,22,357,Mawson,2,16,Swansea,80,51,1
1177,22,143,Williams,2,7,Everton,11,52,1
1182,22,130,Sako,3,6,Crystal Palace,31,48,1
1195,22,77,Mee,2,4,Burnley,90,49,1
1199,22,256,Bernardo Silva,3,11,Man City,43,72,1
1206,22,58,Bruno,2,3,Brighton,36,45,1
1213,22,105,Fàbregas,3,5,Chelsea,8,68,1
1218,22,81,Taylor,2,4,Burnley,90,42,1
1228,22,164,Schindler,2,8,Huddersfield,38,46,1
1237,22,186,Quaner,4,8,Huddersfield,38,45,1
1243,22,424,Dawson,2,19,West Brom,35,48,1
1244,22,464,Martina,2,7,Everton,11,41,1
1246,22,97,Azpilicueta,2,5,Chelsea,8,69,1
1253,22,202,Drinkwater,3,5,Chelsea,8,47,1
1255,22,483,Danilo,2,11,Man City,43,50,1
1263,22,43,Gosling,3,2,Bournemouth,91,48,1
1267,22,404,Janmaat,2,18,Watford,57,48,1
1277,22,490,Pröpper,3,3,Brighton,36,53,1
1309,22,497,Choupo-Moting,3,15,Stoke,110,52,1
1321,22,354,Fernández,2,16,Swansea,80,45,1
1324,22,371,Llorente,4,17,Spurs,6,73,1
1336,22,151,Barry,3,19,West Brom,35,44,1
1338,22,98,Cahill,2,5,Chelsea,8,62,1
1352,22,533,Krychowiak,3,19,West Brom,35,47,1
1358,22,394,Kane,4,17,Spurs,6,131,1
1384,22,313,Stephens,2,14,Southampton,20,45,1
1408,22,487,Chicharito,4,20,West Ham,21,67,1
1426,22,219,Matip,2,10,Liverpool,14,54,1
1429,22,337,Allen,3,15,Stoke,110,51,1
1432,22,176,Lolley,3,8,Huddersfield,38,43,1
1437,22,163,Lössl,1,8,Huddersfield,38,46,1
1443,22,423,Evans,2,19,West Brom,35,49,1
1477,22,8,Gibbs,2,19,West Brom,35,50,1
1499,22,55,Dunk,2,3,Brighton,36,45,1
1503,22,369,Narsingh,3,16,Swansea,80,47,1
1510,22,348,Diouf,4,15,Stoke,110,52,1
1513,22,453,Lanzini,3,20,West Ham,21,66,1
1527,22,450,Noble,3,20,West Ham,21,53,1
1528,22,450,Noble,3,20,West Ham,21,53,1
