,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
270,145,29,Niasse,4,7,Hull,88,55,0
280,152,29,Robertson,2,7,Hull,88,44,0
285,153,29,Maguire,2,7,Hull,88,44,0
355,181,29,Gray,3,8,Leicester,13,48,0
375,191,29,Lovren,2,9,Liverpool,14,49,0
435,222,29,Kompany,2,10,Man City,43,60,0
450,227,29,Delph,3,10,Man City,43,47,0
470,232,29,Navas,3,10,Man City,43,61,0
495,247,29,Shaw,2,11,Man Utd,1,52,0
540,262,29,Herrera,3,11,Man Utd,1,62,0
550,268,29,Mkhitaryan,3,11,Man Utd,1,87,0
560,272,29,Ibrahimovic,4,11,Man Utd,1,114,0
640,309,29,Clasie,3,13,Southampton,20,46,0
655,333,29,Shaqiri,3,14,Stoke,110,60,0
700,358,29,Naughton,2,16,Swansea,80,44,0
805,403,29,Kane,4,17,Spurs,6,119,0
830,411,29,Holebas,2,18,Watford,57,46,0
855,425,29,Deeney,4,18,Watford,57,66,0
900,452,29,Collins,2,20,West Ham,21,42,0
990,541,29,Bravo,1,10,Man City,43,50,0
1000,556,29,Mariappa,2,18,Watford,57,40,0
1065,633,29,Olsson,2,16,Swansea,80,41,0
1075,638,29,Ranocchia,2,7,Hull,88,45,0
1005,558,29,Mawson,2,16,Swansea,80,46,-1
326,172,30,Simpson,2,8,Leicester,13,49,15
841,413,30,Britos,2,18,Watford,57,42,15
396,203,30,Coutinho,3,9,Liverpool,14,87,13
996,555,30,Mustafi,2,1,Arsenal,3,58,12
211,111,30,Zaha,3,5,Crystal Palace,31,58,11
771,390,30,Dier,3,17,Spurs,6,50,11
821,408,30,Cathcart,2,18,Watford,57,43,11
1076,638,30,Ranocchia,2,7,Hull,88,45,11
156,83,30,Fàbregas,3,4,Chelsea,8,70,10
281,152,30,Robertson,2,7,Hull,88,44,10
421,213,30,Christian Benteke,4,5,Crystal Palace,31,72,10
566,274,30,Valdés,1,12,Middlesbrough,25,45,10
1056,628,30,Ndidi,3,8,Leicester,13,46,10
61,32,30,Steve Cook,2,2,Bournemouth,91,48,9
866,431,30,Evans,2,19,West Brom,35,44,9
51,29,30,Boruc,1,2,Bournemouth,91,45,8
506,250,30,Valencia,2,11,Man Utd,1,58,8
516,255,30,Bailly,2,11,Man Utd,1,55,8
571,278,30,Gibson,2,12,Middlesbrough,25,49,8
741,380,30,Lloris,1,17,Spurs,6,55,8
876,436,30,McAuley,2,19,West Brom,35,50,8
966,504,30,Stephens,2,13,Southampton,20,42,8
21,13,30,Walcott,3,1,Arsenal,3,72,7
71,34,30,Smith,2,2,Bournemouth,91,46,7
241,131,30,Pennington,2,6,Everton,11,39,7
361,184,30,Vardy,4,8,Leicester,13,99,7
391,200,30,Lucas,3,9,Liverpool,14,44,7
486,239,30,Agüero,4,10,Man City,43,127,7
611,298,30,Yoshida,2,13,Southampton,20,45,7
701,358,30,Naughton,2,16,Swansea,80,44,7
746,382,30,Alderweireld,2,17,Spurs,6,64,7
756,385,30,Vertonghen,2,17,Spurs,6,58,7
816,407,30,Gomes,1,18,Watford,57,49,7
831,411,30,Holebas,2,18,Watford,57,46,7
861,430,30,Foster,1,19,West Brom,35,47,7
961,489,30,Sané,3,10,Man City,43,77,7
1096,647,30,Grosicki,3,7,Hull,88,55,7
56,31,30,Francis,2,2,Bournemouth,91,45,6
66,33,30,Daniels,2,2,Bournemouth,91,52,6
311,165,30,Schmeichel,1,8,Leicester,13,49,6
331,173,30,Huth,2,8,Leicester,13,49,6
336,174,30,Benalouane,2,8,Leicester,13,40,6
491,242,30,de Gea,1,11,Man Utd,1,55,6
576,280,30,Bernardo,2,12,Middlesbrough,25,42,6
596,294,30,Forster,1,13,Southampton,20,50,6
601,296,30,Bertrand,2,13,Southampton,20,56,6
616,301,30,Cédric,2,13,Southampton,20,49,6
696,356,30,Fabianski,1,16,Swansea,80,48,6
711,363,30,Fernández,2,16,Swansea,80,42,6
761,386,30,Davies,2,17,Spurs,6,50,6
766,387,30,Trippier,2,17,Spurs,6,47,6
796,398,30,Alli,3,17,Spurs,6,91,6
801,402,30,Son,3,17,Spurs,6,72,6
871,433,30,Dawson,2,19,West Brom,35,49,6
881,438,30,Brunt,2,19,West Brom,35,48,6
921,468,30,Carroll,4,20,West Ham,21,59,6
936,477,30,Barragán,2,12,Middlesbrough,25,43,6
1066,633,30,Olsson,2,16,Swansea,80,41,6
26,14,30,Özil,3,1,Arsenal,3,95,5
151,82,30,Hazard,3,4,Chelsea,8,105,5
186,100,30,Hennessey,1,5,Crystal Palace,31,43,5
316,168,30,Fuchs,2,8,Leicester,13,53,5
416,209,30,Firmino,3,9,Liverpool,14,85,5
426,217,30,Origi,4,9,Liverpool,14,60,5
461,230,30,Silva,3,10,Man City,43,86,5
481,235,30,De Bruyne,3,10,Man City,43,105,5
501,248,30,Rojo,2,11,Man Utd,1,52,5
661,340,30,Pickford,1,15,Sunderland,56,42,5
836,412,30,Nyom,2,19,West Brom,35,44,5
1006,558,30,Mawson,2,16,Swansea,80,46,5
471,232,30,Navas,3,10,Man City,43,61,4
706,359,30,Williams,2,6,Everton,11,52,4
81,38,30,Pugh,3,2,Bournemouth,91,46,3
86,48,30,King,3,2,Bournemouth,91,62,3
256,135,30,Cleverley,3,18,Watford,57,51,3
276,147,30,Jakupovic,1,7,Hull,88,41,3
341,176,30,Mahrez,3,8,Leicester,13,89,3
351,179,30,Drinkwater,3,8,Leicester,13,53,3
356,181,30,Gray,3,8,Leicester,13,48,3
366,188,30,Mignolet,1,9,Liverpool,14,48,3
531,259,30,Carrick,3,11,Man Utd,1,42,3
536,260,30,Young,3,11,Man Utd,1,50,3
546,266,30,Lingard,3,11,Man Utd,1,56,3
551,268,30,Mkhitaryan,3,11,Man Utd,1,87,3
581,282,30,Downing,3,12,Middlesbrough,25,48,3
586,283,30,Clayton,3,12,Middlesbrough,25,43,3
591,290,30,de Roon,3,12,Middlesbrough,25,43,3
621,304,30,Redmond,3,13,Southampton,20,59,3
626,305,30,Davis,3,13,Southampton,20,51,3
631,306,30,Ward-Prowse,3,13,Southampton,20,50,3
636,308,30,Tadic,3,13,Southampton,20,69,3
716,367,30,Cork,3,16,Swansea,80,46,3
721,368,30,Sigurdsson,3,16,Swansea,80,74,3
781,392,30,Chadli,3,19,West Brom,35,58,3
786,394,30,Eriksen,3,17,Spurs,6,89,3
791,397,30,Carroll,3,16,Swansea,80,41,3
886,439,30,Fletcher,3,19,West Brom,35,44,3
946,482,30,Doucouré,3,18,Watford,57,46,3
981,536,30,Fraser,3,2,Bournemouth,91,46,3
1021,563,30,Traoré,3,12,Middlesbrough,25,48,3
1041,574,30,Grant,1,14,Stoke,110,43,3
16,12,30,Sánchez,3,1,Arsenal,3,117,2
91,52,30,Afobe,4,2,Bournemouth,91,53,2
96,54,30,Heaton,1,3,Burnley,90,51,2
121,62,30,Boyd,3,3,Burnley,90,51,2
171,90,30,Pedro,3,4,Chelsea,8,68,2
176,95,30,Kanté,3,4,Chelsea,8,47,2
196,105,30,Ward,2,5,Crystal Palace,31,48,2
206,110,30,Puncheon,3,5,Crystal Palace,31,51,2
216,118,30,Cabaye,3,5,Crystal Palace,31,56,2
261,140,30,Oviedo,3,15,Sunderland,56,42,2
266,143,30,Lukaku,4,6,Everton,11,101,2
286,153,30,Maguire,2,7,Hull,88,44,2
291,155,30,Snodgrass,3,20,West Ham,21,55,2
296,156,30,Clucas,3,7,Hull,88,47,2
301,157,30,Livermore,3,19,West Brom,35,47,2
306,163,30,Hernández,4,7,Hull,88,59,2
321,169,30,Schlupp,2,5,Crystal Palace,31,47,2
371,190,30,Sakho,2,5,Crystal Palace,31,47,2
376,191,30,Lovren,2,9,Liverpool,14,49,2
381,193,30,Clyne,2,9,Liverpool,14,59,2
386,199,30,Matip,2,9,Liverpool,14,54,2
406,206,30,Markovic,3,7,Hull,88,52,2
411,208,30,Milner,3,9,Liverpool,14,63,2
526,257,30,Fellaini,3,11,Man Utd,1,58,2
556,271,30,Rashford,4,11,Man Utd,1,64,2
666,342,30,O'Shea,2,15,Sunderland,56,44,2
676,350,30,Rodwell,3,15,Sunderland,56,43,2
686,354,30,Borini,4,15,Sunderland,56,51,2
691,355,30,Defoe,4,15,Sunderland,56,74,2
731,374,30,Ayew,3,20,West Ham,21,71,2
736,375,30,Fer,3,16,Swansea,80,48,2
811,405,30,Janssen,4,17,Spurs,6,75,2
846,416,30,Capoue,3,18,Watford,57,45,2
891,448,30,Berahino,4,14,Stoke,110,60,2
911,459,30,Kouyaté,3,20,West Ham,21,50,2
916,462,30,Lanzini,3,20,West Ham,21,59,2
931,476,30,Denayer,2,15,Sunderland,56,47,2
951,485,30,Wijnaldum,3,9,Liverpool,14,75,2
956,488,30,Gueye,3,6,Everton,11,50,2
1011,560,30,Hendrick,3,3,Burnley,90,53,2
1036,571,30,Robson-Kanu,4,19,West Brom,35,50,2
1046,595,30,Calvert-Lewin,4,6,Everton,11,45,2
1051,626,30,Barton,3,3,Burnley,90,41,2
1071,637,30,Niang,4,18,Watford,57,58,2
1086,642,30,Ayew,4,16,Swansea,80,50,2
1,5,30,Gabriel,2,1,Arsenal,3,48,1
6,6,30,Bellerín,2,1,Arsenal,3,65,1
11,10,30,Monreal,2,1,Arsenal,3,59,1
41,24,30,Xhaka,3,1,Arsenal,3,52,1
46,25,30,Giroud,4,1,Arsenal,3,81,1
101,55,30,Lowton,2,3,Burnley,90,45,1
106,56,30,Mee,2,3,Burnley,90,44,1
111,57,30,Ward,2,3,Burnley,90,45,1
126,67,30,Vokes,4,3,Burnley,90,57,1
131,68,30,Gray,4,3,Burnley,90,60,1
136,73,30,Courtois,1,4,Chelsea,8,59,1
141,77,30,Azpilicueta,2,4,Chelsea,8,64,1
161,86,30,Willian,3,4,Chelsea,8,70,1
166,87,30,Matic,3,4,Chelsea,8,48,1
181,97,30,Costa,4,4,Chelsea,8,104,1
191,103,30,Tomkins,2,5,Crystal Palace,31,48,1
201,106,30,Kelly,2,5,Crystal Palace,31,42,1
221,120,30,Townsend,3,5,Crystal Palace,31,57,1
226,123,30,Robles,1,6,Everton,11,47,1
231,125,30,Baines,2,6,Everton,11,58,1
236,127,30,Jagielka,2,6,Everton,11,49,1
246,133,30,Mirallas,3,6,Everton,11,59,1
251,134,30,Barkley,3,6,Everton,11,70,1
271,145,30,Niasse,4,7,Hull,88,55,1
401,204,30,Can,3,9,Liverpool,14,48,1
431,219,30,Caballero,1,10,Man City,43,48,1
441,223,30,Clichy,2,10,Man City,43,52,1
446,226,30,Otamendi,2,10,Man City,43,59,1
456,228,30,Sterling,3,10,Man City,43,75,1
466,231,30,Yaya Touré,3,10,Man City,43,72,1
476,233,30,Fernandinho,3,10,Man City,43,53,1
646,330,30,Walters,3,14,Stoke,110,53,1
651,331,30,Arnautovic,3,14,Stoke,110,71,1
671,343,30,Jones,2,15,Sunderland,56,44,1
776,391,30,Dembélé,3,17,Spurs,6,54,1
851,422,30,Amrabat,3,18,Watford,57,50,1
896,451,30,Randolph,1,20,West Ham,21,44,1
901,452,30,Collins,2,20,West Ham,21,42,1
906,457,30,Byram,2,20,West Ham,21,42,1
926,469,30,Valencia,4,6,Everton,11,52,1
941,478,30,Negredo,4,12,Middlesbrough,25,61,1
971,505,30,Masuaku,2,20,West Ham,21,47,1
976,512,30,Davies,3,6,Everton,11,44,1
986,540,30,Janmaat,2,18,Watford,57,45,1
1016,561,30,Alonso,2,4,Chelsea,8,69,1
1026,567,30,Slimani,4,8,Leicester,13,82,1
1081,640,30,Brady,3,3,Burnley,90,55,1
1091,646,30,Milivojevic,3,5,Crystal Palace,31,50,1
31,16,30,Ramsey,3,1,Arsenal,3,76,0
36,18,30,Chamberlain,3,1,Arsenal,3,58,0
116,58,30,Keane,2,3,Burnley,90,50,0
146,78,30,Cahill,2,4,Chelsea,8,67,0
346,177,30,Albrighton,3,8,Leicester,13,50,0
436,222,30,Kompany,2,10,Man City,43,60,0
451,227,30,Delph,3,10,Man City,43,47,0
496,247,30,Shaw,2,11,Man Utd,1,52,0
