,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1327,30,248,Rojo,2,11,Man Utd,1,52,5
1364,30,14,Özil,3,1,Arsenal,3,95,5
1455,30,209,Firmino,3,9,Liverpool,14,85,5
1546,30,100,Hennessey,1,5,Crystal Palace,31,43,5
975,30,359,Williams,2,6,Everton,11,52,4
1217,30,232,Navas,3,10,Man City,43,61,4
917,30,563,Traoré,3,12,Middlesbrough,25,48,3
918,30,283,Clayton,3,12,Middlesbrough,25,43,3
976,30,260,Young,3,11,Man Utd,1,50,3
1028,30,394,Eriksen,3,17,Spurs,6,89,3
1059,30,179,Drinkwater,3,8,Leicester,13,53,3
1068,30,439,Fletcher,3,19,West Brom,35,44,3
1084,30,181,Gray,3,8,Leicester,13,48,3
1099,30,308,Tadic,3,13,Southampton,20,69,3
1102,30,147,Jakupovic,1,7,Hull,88,41,3
1155,30,368,Sigurdsson,3,16,Swansea,80,74,3
1166,30,268,Mkhitaryan,3,11,Man Utd,1,87,3
1180,30,367,Cork,3,16,Swansea,80,46,3
1197,30,306,Ward-Prowse,3,13,Southampton,20,50,3
1216,30,266,Lingard,3,11,Man Utd,1,56,3
1255,30,48,King,3,2,Bournemouth,91,62,3
1293,30,574,Grant,1,14,Stoke,110,43,3
1333,30,38,Pugh,3,2,Bournemouth,91,46,3
1342,30,290,de Roon,3,12,Middlesbrough,25,43,3
1391,30,392,Chadli,3,19,West Brom,35,58,3
1398,30,304,Redmond,3,13,Southampton,20,59,3
1452,30,176,Mahrez,3,8,Leicester,13,89,3
1468,30,536,Fraser,3,2,Bournemouth,91,46,3
1497,30,188,Mignolet,1,9,Liverpool,14,48,3
1505,30,305,Davis,3,13,Southampton,20,51,3
1510,30,282,Downing,3,12,Middlesbrough,25,48,3
1526,30,397,Carroll,3,16,Swansea,80,41,3
1527,30,135,Cleverley,3,18,Watford,57,51,3
915,30,163,Hernández,4,7,Hull,88,59,2
930,30,158,Elmohamady,3,7,Hull,88,46,2
939,30,12,Sánchez,3,1,Arsenal,3,117,2
961,30,374,Ayew,3,20,West Ham,21,71,2
986,30,52,Afobe,4,2,Bournemouth,91,53,2
1011,30,140,Oviedo,3,15,Sunderland,56,42,2
1026,30,459,Kouyaté,3,20,West Ham,21,50,2
1094,30,595,Calvert-Lewin,4,6,Everton,11,45,2
1140,30,62,Boyd,3,3,Burnley,90,51,2
1143,30,485,Wijnaldum,3,9,Liverpool,14,75,2
1158,30,571,Robson-Kanu,4,19,West Brom,35,50,2
1163,30,153,Maguire,2,7,Hull,88,44,2
1174,30,488,Gueye,3,6,Everton,11,50,2
1181,30,350,Rodwell,3,15,Sunderland,56,43,2
1186,30,157,Livermore,3,19,West Brom,35,47,2
1193,30,208,Milner,3,9,Liverpool,14,63,2
1204,30,476,Denayer,2,15,Sunderland,56,47,2
1205,30,110,Puncheon,3,5,Crystal Palace,31,51,2
1210,30,169,Schlupp,2,5,Crystal Palace,31,47,2
1211,30,560,Hendrick,3,3,Burnley,90,53,2
1214,30,355,Defoe,4,15,Sunderland,56,74,2
1220,30,199,Matip,2,9,Liverpool,14,54,2
1223,30,105,Ward,2,5,Crystal Palace,31,48,2
1224,30,626,Barton,3,3,Burnley,90,41,2
1230,30,342,O'Shea,2,15,Sunderland,56,44,2
1243,30,642,Ayew,4,16,Swansea,80,50,2
1291,30,206,Markovic,3,7,Hull,88,52,2
1298,30,375,Fer,3,16,Swansea,80,48,2
1316,30,637,Niang,4,18,Watford,57,58,2
1320,30,190,Sakho,2,5,Crystal Palace,31,47,2
1324,30,462,Lanzini,3,20,West Ham,21,59,2
1330,30,271,Rashford,4,11,Man Utd,1,64,2
1341,30,257,Fellaini,3,11,Man Utd,1,58,2
1389,30,95,Kanté,3,4,Chelsea,8,47,2
1395,30,193,Clyne,2,9,Liverpool,14,59,2
1458,30,155,Snodgrass,3,20,West Ham,21,55,2
1460,30,143,Lukaku,4,6,Everton,11,101,2
